cores,basic_linear,chain,binary_tree
2,1.02,1.04,1.03
3,1.16,1.19,1.14
4,0.34,0.35,0.36
5,0.48,0.49,0.76
6,0.57,0.74,0.73
7,0.79,1.09,0.93
8,1.98,1.35,1.82
9,2.15,1.75,2.00
10,2.02,2.33,1.97
11,1.71,2.55,1.65
12,2.08,2.51,1.98
13,2.02,2.13,1.84
14,2.15,2.18,1.85
15,1.94,2.25,1.82
16,2.33,2.51,2.01
17,2.68,2.89,2.40
18,2.66,3.38,2.35
19,2.41,3.25,2.22
20,2.86,3.94,2.21
21,2.60,3.85,2.12
22,2.70,3.42,2.20
23,2.53,3.35,2.17
24,2.88,3.84,2.21
25,2.73,3.91,2.13
26,2.77,4.28,2.16
27,2.60,4.52,2.17
28,3.10,4.63,2.21
29,3.01,4.41,2.18
30,3.09,4.44,2.09
31,2.86,4.32,2.25
32,3.43,4.89,2.19
33,3.77,5.16,2.69
34,3.79,5.62,2.58
35,3.60,5.58,2.44
36,3.79,6.26,2.51
37,3.68,6.21,2.44
38,3.86,5.96,2.48
39,3.65,5.80,2.48
40,4.05,6.32,2.54
41,3.93,6.33,2.44
42,3.95,6.72,2.42
43,3.77,6.89,2.38
44,4.28,6.93,2.50
45,4.05,7.25,2.49
46,4.16,8.05,2.51
47,4.05,8.03,2.46
48,4.44,8.54,2.50
