Processes,Size,Time
1,2000,14.9701
2,2000,7.50648
3,2000,5.00131
4,2000,3.75871
5,2000,3.01951
6,2000,2.5215
7,2000,2.17272
8,2000,1.89742
9,2000,1.69273
10,2000,1.53056
11,2000,1.39342
12,2000,1.28347
13,2000,1.18422
14,2000,1.10554
15,2000,1.03376
16,2000,0.977361
17,2000,0.914746
18,2000,0.866053
19,2000,0.822353
20,2000,0.778074
21,2000,0.741094
22,2000,0.708508
23,2000,0.680546
24,2000,0.649723
25,2000,0.654357
26,2000,0.62655
27,2000,0.604221
28,2000,0.585195
29,2000,0.585728
30,2000,0.564743
31,2000,0.556178
32,2000,0.54621
33,2000,0.516384
34,2000,0.500065
35,2000,0.482586
36,2000,0.469045
37,2000,0.450647
38,2000,0.441188
39,2000,0.429015
40,2000,0.428346
41,2000,0.419728
42,2000,0.404877
43,2000,0.395255
44,2000,0.385003
45,2000,0.376162
46,2000,0.376595
47,2000,0.364856
48,2000,0.359831
49,2000,0.354536
50,2000,0.349693
51,2000,0.339331
52,2000,0.341751
53,2000,0.331518
54,2000,0.332659
55,2000,0.321215
56,2000,0.321717
57,2000,0.322637
58,2000,0.315615
59,2000,0.3087
60,2000,0.294383
61,2000,0.292028
62,2000,0.284995
63,2000,0.281202
64,2000,0.282323
65,2000,0.27457
66,2000,0.271896
67,2000,0.261529
68,2000,0.262748
69,2000,0.263465
70,2000,0.244812
71,2000,0.256624
72,2000,0.255344
73,2000,0.266848
74,2000,0.261853
75,2000,0.258349
76,2000,0.249666
77,2000,0.251472
78,2000,0.249461
79,2000,0.250664
80,2000,0.245727
81,2000,0.240606
82,2000,0.243068
83,2000,0.239848
84,2000,0.23644
85,2000,0.234102
86,2000,0.233888
87,2000,0.227283
88,2000,0.222811
89,2000,0.223653
90,2000,0.22127
91,2000,0.220322
92,2000,0.214717
93,2000,0.213094
94,2000,0.208431
95,2000,0.204735
96,2000,0.207532
